date,max_temp,min_temp
2026-06-02,38.8,25.5
2026-06-03,39.8,28.3
2026-06-04,40.5,29.6
2026-06-05,39.3,30.2
2026-06-06,40.0,30.3
2026-06-07,40.2,29.9
2026-06-08,40.7,30.5
2026-06-09,39.3,28.9
